Date,Close,High,Low,Open,Volume,Symbol
1995-03-13,1.88,2.0,1.53,1.57,102161547,ASML
1995-03-20,2.15,2.34,1.83,1.87,33967062,ASML
1995-03-27,2.21,2.34,2.07,2.14,22529174,ASML
1995-04-03,1.98,2.2,1.95,2.2,11485525,ASML
1995-04-10,2.08,2.14,1.95,1.98,7964469,ASML
1995-04-17,1.99,2.1,1.95,2.06,4986315,ASML
1995-04-24,2.15,2.26,1.99,1.99,10017802,ASML
1995-05-01,2.38,2.44,2.13,2.17,11267872,ASML
1995-05-08,2.35,2.45,2.22,2.37,9313919,ASML
1995-05-15,2.65,2.82,2.36,2.38,12083457,ASML
1995-05-22,2.68,2.86,2.56,2.67,10864598,ASML
1995-05-29,2.61,2.74,2.47,2.7,5335382,ASML
1995-06-05,2.65,2.68,2.58,2.62,2244704,ASML
1995-06-12,2.62,2.68,2.59,2.65,2064011,ASML
1995-06-19,2.6,2.69,2.54,2.62,10438325,ASML
1995-06-26,2.82,2.92,2.57,2.64,5516075,ASML
1995-07-03,3.11,3.18,2.88,2.91,4270112,ASML
1995-07-10,3.64,3.93,3.12,3.14,21158368,ASML
1995-07-17,3.9,4.02,3.1,3.63,12711775,ASML
1995-07-24,4.39,4.45,3.89,3.89,12584470,ASML
1995-07-31,3.65,4.63,3.65,4.59,8122166,ASML
1995-08-07,3.74,3.98,3.67,3.69,3976075,ASML
1995-08-14,4.11,4.19,3.74,3.77,5455296,ASML
1995-08-21,3.85,4.1,3.66,4.09,4216726,ASML
1995-08-28,3.81,3.91,3.58,3.83,4339925,ASML
1995-09-04,4.05,4.14,3.83,3.83,2203637,ASML
1995-09-11,3.87,4.39,3.82,4.01,2522315,ASML
1995-09-18,3.48,3.99,3.47,3.82,8229760,ASML
1995-09-25,3.45,3.73,3.01,3.6,5390410,ASML
1995-10-02,3.2,3.52,3.08,3.48,5149760,ASML
1995-10-09,3.3,3.37,2.91,3.2,3354325,ASML
1995-10-16,3.64,3.91,3.22,3.36,8849046,ASML
1995-10-23,3.73,4.09,3.64,3.64,3389643,ASML
1995-10-30,3.87,3.92,3.75,3.77,4663531,ASML
1995-11-06,3.73,3.9,3.65,3.85,2877131,ASML
1995-11-13,3.58,3.68,3.38,3.68,2430325,ASML
1995-11-20,3.42,3.67,3.28,3.59,1402838,ASML
1995-11-27,3.3,3.51,3.3,3.49,2975690,ASML
1995-12-04,3.08,3.48,2.95,3.24,8706954,ASML
1995-12-11,3.06,3.18,2.99,3.13,5462688,ASML
1995-12-18,2.74,3.08,2.68,3.08,8617430,ASML
1995-12-25,2.61,2.77,2.59,2.7,2119862,ASML
1996-01-01,3.24,3.3,2.63,2.65,17804863,ASML
1996-01-08,3.3,3.54,2.96,3.54,6132896,ASML
1996-01-15,3.46,3.46,3.1,3.35,3477526,ASML
1996-01-22,3.45,3.62,3.28,3.4,3581014,ASML
1996-01-29,3.63,3.64,3.38,3.56,4597003,ASML
1996-02-05,3.65,3.79,3.46,3.66,8233044,ASML
1996-02-12,3.52,3.8,3.36,3.62,8214977,ASML
1996-02-19,4.07,4.17,3.92,3.93,7883978,ASML
1996-02-26,3.73,4.08,3.62,4.07,11754922,ASML
1996-03-04,3.12,3.75,3.08,3.74,50193322,ASML
1996-03-11,3.19,3.26,3.1,3.12,12836619,ASML
1996-03-18,3.32,3.44,3.2,3.22,8441665,ASML
1996-03-25,3.17,3.3,3.1,3.14,8492587,ASML
1996-04-01,3.43,3.44,3.16,3.21,4329249,ASML
1996-04-08,3.38,3.46,3.32,3.35,7266336,ASML
1996-04-15,3.54,3.6,3.38,3.4,2568309,ASML
1996-04-22,3.54,3.62,3.48,3.55,1430764,ASML
1996-04-29,3.43,3.54,3.38,3.5,2527243,ASML
1996-05-06,3.48,3.6,3.43,3.46,12115487,ASML
1996-05-13,3.73,3.77,3.48,3.48,1916992,ASML
1996-05-20,3.6,3.73,3.38,3.72,3801131,ASML
1996-05-27,3.71,3.73,3.58,3.63,1811039,ASML
1996-06-03,3.76,3.93,3.71,3.73,3350219,ASML
1996-06-10,3.66,3.81,3.56,3.79,5824075,ASML
1996-06-17,3.38,3.63,3.29,3.62,12297823,ASML
1996-06-24,3.22,3.36,3.08,3.3,9693376,ASML
1996-07-01,3.24,3.32,3.1,3.3,5344415,ASML
1996-07-08,3.08,3.39,3.03,3.22,12076064,ASML
1996-07-15,3.08,3.14,2.83,3.03,5277067,ASML
1996-07-22,2.85,3.09,2.69,3.09,9633419,ASML
1996-07-29,3.14,3.16,2.85,2.91,5282816,ASML
1996-08-05,3.16,3.24,3.06,3.14,2085365,ASML
1996-08-12,2.89,3.08,2.86,3.08,1319062,ASML
1996-08-19,3.01,3.05,2.93,2.93,2447574,ASML
1996-08-26,3.03,3.06,2.97,3.03,1399552,ASML
1996-09-02,2.72,2.9,2.58,2.89,3151456,ASML
1996-09-09,2.68,2.93,2.65,2.81,3919402,ASML
1996-09-16,2.99,2.99,2.69,2.71,4954282,ASML
1996-09-23,2.99,3.12,2.88,2.93,3184309,ASML
1996-09-30,3.21,3.25,2.89,3.0,4794123,ASML
1996-10-07,3.06,3.18,3.06,3.15,1627883,ASML
1996-10-14,2.95,3.12,2.86,3.05,1289493,ASML
1996-10-21,2.81,2.95,2.81,2.94,1103871,ASML
1996-10-28,2.82,2.84,2.79,2.79,319499,ASML
1996-11-04,2.83,2.85,2.81,2.81,401632,ASML
1996-11-11,3.04,3.05,2.84,2.85,1740404,ASML
1996-11-18,3.57,3.63,2.97,3.04,9122549,ASML
1996-11-25,3.47,3.54,3.31,3.43,11357397,ASML
1996-12-02,3.82,3.88,3.39,3.45,16383958,ASML
1996-12-09,3.92,3.99,3.71,3.72,24783732,ASML
1996-12-16,3.91,3.96,3.64,3.89,15999573,ASML
1996-12-23,3.88,3.94,3.87,3.94,2330122,ASML
1996-12-30,4.05,4.05,3.87,3.87,4099275,ASML
1997-01-06,4.33,4.33,4.04,4.09,7954613,ASML
1997-01-13,4.75,4.86,4.26,4.32,7962827,ASML
1997-01-20,5.27,5.38,4.54,4.74,16643499,ASML
1997-01-27,5.75,5.8,5.15,5.28,15967542,ASML
1997-02-03,5.54,5.91,5.27,5.91,10733184,ASML
1997-02-10,5.8,5.83,5.1,5.51,11869088,ASML
1997-02-17,5.78,5.84,5.62,5.79,4874614,ASML
1997-02-24,5.23,5.76,5.19,5.72,9847787,ASML
1997-03-03,6.16,6.37,5.21,5.25,9723766,ASML
1997-03-10,5.89,6.8,5.74,6.79,15773707,ASML
1997-03-17,5.4,5.98,5.3,5.94,16657461,ASML
1997-03-24,5.86,6.15,5.26,5.38,11304831,ASML
1997-03-31,6.32,6.33,5.44,5.91,16176159,ASML
1997-04-07,5.81,6.76,5.74,6.48,14150752,ASML
1997-04-14,6.11,6.37,5.78,5.84,11539733,ASML
1997-04-21,5.74,6.15,5.55,6.14,17046774,ASML
1997-04-28,6.69,6.69,5.67,5.82,15749066,ASML
1997-05-05,7.06,7.45,6.52,6.59,18146538,ASML
1997-05-12,7.37,7.86,7.23,7.47,15714571,ASML
1997-05-19,8.64,8.76,7.15,7.31,21759994,ASML
1997-05-26,8.21,8.86,7.74,8.62,15851733,ASML
1997-06-02,7.98,8.17,7.7,8.17,9083947,ASML
1997-06-09,7.65,8.21,7.31,7.98,20677478,ASML
1997-06-16,9.14,9.21,7.64,7.64,12850582,ASML
1997-06-23,9.27,9.39,8.9,9.33,9225216,ASML
1997-06-30,9.65,9.73,9.04,9.21,6240490,ASML
1997-07-07,11.99,12.21,9.77,10.24,13933919,ASML
1997-07-14,11.58,13.79,11.57,12.08,24169786,ASML
1997-07-21,13.56,14.15,11.65,11.71,19669702,ASML
1997-07-28,13.16,13.48,12.38,13.48,10985334,ASML
1997-08-04,12.66,13.95,12.34,13.01,10936875,ASML
1997-08-11,13.79,14.5,12.42,12.81,18899291,ASML
1997-08-18,14.6,15.84,13.65,14.05,22807196,ASML
1997-08-25,13.36,14.93,13.14,14.85,13011973,ASML
1997-09-01,13.67,14.48,13.48,13.71,8736933,ASML
1997-09-08,14.5,14.66,13.16,13.73,18481231,ASML
1997-09-15,15.07,15.52,14.3,14.89,10800123,ASML
1997-09-22,15.7,16.94,15.29,15.34,20461466,ASML
1997-09-29,15.84,16.05,15.09,15.48,13915850,ASML
1997-10-06,15.76,16.62,15.27,16.19,10858849,ASML
1997-10-13,14.09,16.01,13.03,15.87,28171734,ASML
1997-10-20,12.79,15.15,11.63,14.15,45544987,ASML
1997-10-27,11.51,12.99,10.71,12.16,33618406,ASML
1997-11-03,11.51,13.73,11.2,11.87,21828577,ASML
1997-11-10,11.16,12.08,9.98,12.06,24366907,ASML
1997-11-17,10.57,12.42,10.29,11.55,32075532,ASML
1997-11-24,9.82,10.61,9.27,10.55,19682842,ASML
1997-12-01,11.25,11.32,9.82,10.37,18266865,ASML
1997-12-08,9.39,11.47,8.86,11.24,34210997,ASML
1997-12-15,10.06,10.33,8.88,9.51,22909040,ASML
1997-12-22,9.96,10.31,9.76,10.22,5429424,ASML
1997-12-29,10.69,10.9,10.08,10.18,6657728,ASML
1998-01-05,9.84,12.14,9.76,10.9,21199434,ASML
1998-01-12,10.61,11.45,9.53,9.55,18836870,ASML
1998-01-19,10.35,11.79,10.14,10.9,24499963,ASML
1998-01-26,10.92,11.38,10.15,10.58,15842288,ASML
1998-02-02,12.28,12.44,11.24,11.38,24006342,ASML
1998-02-09,12.16,12.53,11.83,12.48,14904326,ASML
1998-02-16,12.26,12.53,12.06,12.3,5498415,ASML
1998-02-23,14.68,15.27,12.48,12.57,26824747,ASML
1998-03-02,14.38,14.74,13.52,14.72,27342187,ASML
1998-03-09,15.11,15.29,13.79,14.15,20521835,ASML
1998-03-16,14.54,15.42,14.38,15.38,8802229,ASML
1998-03-23,14.7,15.23,14.26,14.42,6798586,ASML
1998-03-30,14.11,14.74,13.75,14.58,8661781,ASML
1998-04-06,13.92,14.46,13.57,14.4,8450699,ASML
1998-04-13,14.18,14.77,13.63,14.01,7872891,ASML
1998-04-20,15.09,15.42,14.32,14.4,4772769,ASML
1998-04-27,13.83,14.62,13.62,14.38,7962005,ASML
1998-05-04,13.58,14.38,13.52,14.07,8960541,ASML
1998-05-11,12.89,13.83,12.85,13.52,6071706,ASML
1998-05-18,13.28,13.83,12.34,12.69,7409248,ASML
1998-05-25,12.04,13.75,11.95,13.75,9827254,ASML
1998-06-01,11.08,12.26,10.86,12.26,29295317,ASML
1998-06-08,9.16,12.18,8.39,11.0,29191624,ASML
1998-06-15,9.21,9.9,8.68,8.68,12199675,ASML
1998-06-22,9.08,10.02,9.06,9.12,8160768,ASML
1998-06-29,9.27,9.35,9.04,9.27,4637247,ASML
1998-07-06,9.55,10.2,9.12,9.55,11182659,ASML
1998-07-13,10.24,10.41,9.27,9.51,9279218,ASML
1998-07-20,8.53,10.33,8.37,10.29,8484373,ASML
1998-07-27,9.02,9.43,8.25,8.57,6667584,ASML
1998-08-03,9.35,9.53,8.41,8.84,7270237,ASML
1998-08-10,8.49,9.25,8.23,9.12,5690403,ASML
1998-08-17,7.66,8.96,7.47,8.41,5216083,ASML
1998-08-24,6.99,7.94,6.7,7.52,4877693,ASML
1998-08-31,5.85,6.64,4.79,6.29,9942651,ASML
1998-09-07,5.97,6.68,5.38,6.6,5036826,ASML
1998-09-14,5.07,5.97,4.97,5.97,3459250,ASML
1998-09-21,5.19,5.7,4.48,4.6,8013132,ASML
1998-09-28,4.91,5.52,4.52,5.15,6141521,ASML
1998-10-05,4.28,4.79,4.07,4.79,3859855,ASML
1998-10-12,6.01,6.17,4.28,4.36,12821834,ASML
1998-10-19,7.27,7.8,5.66,5.76,10182481,ASML
1998-10-26,8.02,8.37,6.72,6.76,15150109,ASML
1998-11-02,8.29,8.33,7.33,7.62,12112613,ASML
1998-11-09,8.72,9.19,7.72,8.29,9195238,ASML
1998-11-16,9.04,9.12,8.27,8.61,3696822,ASML
1998-11-23,9.43,9.53,9.0,9.06,3678751,ASML
1998-11-30,10.06,10.59,8.17,9.31,16276158,ASML
1998-12-07,8.92,10.53,8.76,9.9,9131174,ASML
1998-12-14,9.08,9.19,8.31,8.8,5840501,ASML
1998-12-21,9.51,9.59,9.12,9.31,4988778,ASML
1998-12-28,9.59,9.96,9.47,9.55,1498112,ASML
1999-01-04,13.24,14.93,9.82,9.86,42243637,ASML
1999-01-11,13.6,13.75,11.43,12.61,15858920,ASML
1999-01-18,13.81,14.22,12.65,13.38,15715392,ASML
1999-01-25,14.62,14.64,13.34,14.05,12129450,ASML
1999-02-01,13.52,15.01,12.81,14.52,20113632,ASML
1999-02-08,14.26,14.93,13.6,14.26,18752683,ASML
1999-02-15,13.44,14.68,13.4,14.09,8858901,ASML
1999-02-22,12.46,14.1,12.42,13.67,12463733,ASML
1999-03-01,12.5,12.73,11.85,12.38,12029043,ASML
1999-03-08,13.05,13.32,12.26,12.59,18308136,ASML
1999-03-15,14.38,15.27,12.97,13.12,13941928,ASML
1999-03-22,13.44,14.6,13.2,14.6,8111489,ASML
1999-03-29,14.46,14.62,13.52,13.6,7098784,ASML
1999-04-05,15.21,15.84,14.62,14.62,11722070,ASML
1999-04-12,14.44,14.93,13.95,14.77,7738398,ASML
1999-04-19,14.89,15.07,13.1,14.34,12148136,ASML
1999-04-26,12.26,14.93,12.02,14.81,13748094,ASML
1999-05-03,12.69,13.05,11.43,12.73,23663845,ASML
1999-05-10,13.58,13.69,12.1,12.42,16521736,ASML
1999-05-17,14.01,14.85,13.01,13.24,9670378,ASML
1999-05-24,13.87,14.26,13.48,14.15,6306402,ASML
1999-05-31,14.62,14.7,13.67,14.03,2966245,ASML
1999-06-07,16.13,16.41,14.34,14.34,13000681,ASML
1999-06-14,17.74,17.96,16.33,16.58,12576462,ASML
1999-06-21,17.52,18.45,16.86,18.0,5723256,ASML
1999-06-28,19.25,19.45,17.17,17.37,6581755,ASML
1999-07-05,19.53,19.61,18.53,18.63,5501701,ASML
1999-07-12,21.69,21.89,18.9,19.49,11088411,ASML
1999-07-19,18.27,21.77,18.08,21.45,13097391,ASML
1999-07-26,19.1,19.67,17.72,17.96,5839270,ASML
1999-08-02,17.47,19.1,16.82,18.82,4649363,ASML
1999-08-09,19.14,20.59,17.56,17.64,12180579,ASML
1999-08-16,18.51,19.37,17.92,18.9,6686681,ASML
1999-08-23,20.16,20.33,18.49,18.63,6186693,ASML
1999-08-30,21.3,21.34,19.43,20.12,2806907,ASML
1999-09-06,20.67,21.77,20.67,21.22,1874898,ASML
1999-09-13,20.39,20.9,19.3,20.59,6389974,ASML
1999-09-20,20.43,21.34,19.94,20.59,6145832,ASML
1999-09-27,21.12,21.65,20.63,20.79,4748539,ASML
1999-10-04,22.26,22.75,20.9,21.06,6329195,ASML
1999-10-11,21.06,23.46,20.83,22.34,6468617,ASML
1999-10-18,21.45,21.57,19.76,20.88,5241545,ASML
1999-10-25,22.83,23.03,20.94,21.18,4681805,ASML
1999-11-01,25.5,26.05,22.5,22.75,6461634,ASML
1999-11-08,26.09,26.29,24.52,25.17,4382840,ASML
1999-11-15,27.01,27.74,25.93,26.9,7481935,ASML
1999-11-22,28.13,28.17,25.93,26.37,2238338,ASML
1999-11-29,31.28,31.59,28.68,28.96,8476365,ASML
1999-12-06,30.41,34.46,29.98,31.32,9260328,ASML
1999-12-13,30.59,31.83,28.53,30.22,7253811,ASML
1999-12-20,35.27,36.11,32.06,32.06,3690456,ASML
1999-12-27,35.76,35.76,33.4,34.97,1783320,ASML
2000-01-03,31.87,36.78,29.53,36.78,6697152,ASML
2000-01-10,39.33,40.55,33.36,33.64,7936955,ASML
2000-01-17,43.69,45.27,38.43,38.59,8020114,ASML
2000-01-24,36.9,44.09,36.86,43.77,7257301,ASML
2000-01-31,43.07,44.52,36.43,36.68,4808906,ASML
2000-02-07,42.2,46.03,41.42,42.52,3644871,ASML
2000-02-14,40.0,42.99,40.0,42.44,4289414,ASML
2000-02-21,38.94,42.59,38.55,40.47,4156974,ASML
2000-02-28,47.25,47.39,38.82,39.29,6539867,ASML
2000-03-06,47.13,47.31,40.94,43.58,5021426,ASML
2000-03-13,43.14,46.43,38.61,44.64,5504165,ASML
2000-03-20,41.47,44.36,38.94,44.01,6210718,ASML
2000-03-27,35.13,43.62,33.52,42.83,10647355,ASML
2000-04-03,40.83,42.4,30.57,34.22,16146593,ASML
2000-04-10,30.47,40.51,30.06,39.65,8819682,ASML
2000-04-17,35.25,37.01,30.88,32.3,3533035,ASML
2000-04-24,37.72,38.13,30.65,33.71,3915364,ASML
2000-05-01,37.43,39.61,35.6,37.49,2682201,ASML
2000-05-08,33.18,36.72,30.41,36.31,8119360,ASML
2000-05-15,33.36,37.13,32.77,33.71,3489572,ASML
2000-05-22,33.54,34.19,28.59,32.06,6127558,ASML
2000-05-29,40.49,40.67,33.12,33.83,3961086,ASML
2000-06-05,40.37,40.37,34.66,38.49,3792644,ASML
2000-06-12,37.6,40.37,35.72,39.84,8260560,ASML
2000-06-19,40.79,42.79,36.66,37.6,6565464,ASML
2000-06-26,41.61,43.03,38.55,40.96,5691293,ASML
2000-07-03,40.02,40.32,36.31,39.84,4696795,ASML
2000-07-10,43.26,43.5,39.96,40.79,5000208,ASML
2000-07-17,41.49,44.79,40.2,44.09,5498348,ASML
2000-07-24,34.83,41.49,34.66,40.85,3992091,ASML
2000-07-31,32.12,38.06,30.24,36.25,8797507,ASML
2000-08-07,32.65,33.42,30.53,31.95,7315411,ASML
2000-08-14,38.19,38.66,33.07,33.71,5318203,ASML
2000-08-21,37.31,39.14,36.37,37.49,3087735,ASML
2000-08-28,38.61,39.14,35.48,37.37,4307072,ASML
2000-09-04,35.13,40.55,34.95,40.49,3013745,ASML
2000-09-11,33.01,35.6,32.54,34.66,2251549,ASML
2000-09-18,30.77,33.83,30.18,33.83,5139357,ASML
2000-09-25,30.47,32.48,29.71,32.45,6052884,ASML
2000-10-02,28.7,31.95,27.58,28.94,15379193,ASML
2000-10-09,27.17,28.76,23.64,28.17,7979459,ASML
2000-10-16,25.46,28.0,19.63,27.7,10444212,ASML
2000-10-23,25.23,26.76,23.22,24.87,6293261,ASML
2000-10-30,27.35,27.76,23.81,25.17,6351988,ASML
2000-11-06,21.28,28.01,21.1,27.82,10796906,ASML
2000-11-13,20.86,23.58,20.45,20.81,5116701,ASML
2000-11-20,20.28,20.39,18.21,19.16,3541863,ASML
2000-11-27,19.8,21.93,18.57,21.57,7347375,ASML
2000-12-04,24.11,24.28,19.21,19.77,11166711,ASML
2000-12-11,21.1,25.99,20.86,25.05,5903333,ASML
2000-12-18,21.81,22.16,19.21,20.75,4691046,ASML
2000-12-25,21.28,22.1,20.86,21.69,1801458,ASML
2001-01-01,23.22,24.93,18.51,20.86,8389167,ASML
2001-01-08,25.87,26.64,21.93,22.84,9589272,ASML
2001-01-15,27.17,28.11,23.93,24.52,14316934,ASML
2001-01-22,26.29,28.88,25.46,25.49,7219178,ASML
2001-01-29,25.23,27.7,24.99,25.64,8364322,ASML
2001-02-05,22.04,24.4,22.04,24.28,10090012,ASML
2001-02-12,23.28,24.28,21.57,21.81,9756962,ASML
2001-02-19,22.16,23.4,19.63,23.28,7718617,ASML
2001-02-26,20.51,22.16,18.74,21.75,13048523,ASML
2001-03-05,22.04,24.87,20.51,20.75,14186821,ASML
2001-03-12,19.1,23.1,18.98,21.28,14048975,ASML
2001-03-19,21.98,22.52,18.68,19.27,7841612,ASML
2001-03-26,20.45,23.46,20.04,22.46,10241342,ASML
2001-04-02,19.8,21.63,17.86,19.63,10587944,ASML
2001-04-09,23.62,23.67,19.47,20.41,8589640,ASML
2001-04-16,25.42,25.78,20.78,22.72,19269918,ASML
2001-04-23,24.91,25.37,23.86,24.3,18372611,ASML
2001-04-30,25.3,26.45,24.27,25.0,16306068,ASML
2001-05-07,24.25,25.17,23.43,24.87,9644096,ASML
2001-05-14,25.08,25.09,22.48,23.44,9326993,ASML
2001-05-21,23.65,26.36,23.5,24.61,12822381,ASML
2001-05-28,22.35,23.26,21.5,23.2,7358600,ASML
2001-06-04,23.95,24.05,22.12,22.36,9231444,ASML
2001-06-11,21.08,23.72,20.35,23.3,7832029,ASML
2001-06-18,20.45,21.64,18.58,21.11,10234977,ASML
2001-06-25,20.98,21.77,19.92,20.86,8872042,ASML
2001-07-02,19.1,21.69,18.26,20.98,9248418,ASML
2001-07-09,20.08,20.81,19.1,19.35,8613254,ASML
2001-07-16,18.19,20.28,17.86,20.24,13496423,ASML
2001-07-23,18.41,18.51,17.01,18.42,9531367,ASML
2001-07-30,19.4,20.75,18.86,19.32,9990082,ASML
2001-08-06,18.58,19.26,17.91,19.2,6476830,ASML
2001-08-13,17.69,19.24,17.54,18.95,3558221,ASML
2001-08-20,19.76,19.99,17.45,17.87,5401294,ASML
2001-08-27,17.14,20.16,16.72,19.84,7914914,ASML
2001-09-03,14.32,16.5,13.96,15.89,9617061,ASML
2001-09-10,14.01,14.41,13.8,14.02,4512474,ASML
2001-09-17,9.52,12.83,8.97,11.69,13434070,ASML
2001-09-24,10.57,12.15,9.76,10.15,14774076,ASML
2001-10-01,12.15,12.35,10.14,10.23,11849923,ASML
2001-10-08,13.8,14.61,12.11,12.12,9105027,ASML
2001-10-15,12.45,14.43,12.02,13.29,17239170,ASML
2001-10-22,14.44,14.7,12.5,12.65,13295197,ASML
2001-10-29,14.74,14.87,12.68,14.48,9010643,ASML
2001-11-05,16.02,16.48,15.01,15.09,8227228,ASML
2001-11-12,18.4,18.75,15.51,16.24,6935065,ASML
2001-11-19,16.81,18.47,15.88,18.41,5885195,ASML
2001-11-26,16.42,17.53,16.22,17.28,7992669,ASML
2001-12-03,17.81,19.13,15.84,16.1,10578431,ASML
2001-12-10,16.78,18.6,16.5,17.53,7956052,ASML
2001-12-17,15.76,18.1,15.2,17.48,7981923,ASML
2001-12-24,16.41,16.55,15.47,15.75,1039465,ASML
2001-12-31,18.3,18.53,16.02,16.41,4399677,ASML
2002-01-07,19.44,19.76,17.81,18.27,11172802,ASML
2002-01-14,17.17,19.3,16.85,19.25,9595978,ASML
2002-01-21,17.96,18.12,16.79,17.27,7209048,ASML
2002-01-28,17.92,18.24,17.0,17.87,6339530,ASML
2002-02-04,16.88,18.63,16.37,18.43,10672200,ASML
2002-02-11,18.67,19.14,17.01,17.1,9226311,ASML
2002-02-18,17.75,18.72,17.38,18.13,6633020,ASML
2002-02-25,21.36,21.36,17.95,17.95,9216318,ASML
2002-03-04,23.05,23.37,21.13,21.27,15761181,ASML
2002-03-11,22.6,22.68,21.38,22.25,7366470,ASML
2002-03-18,22.32,23.72,21.83,22.95,10277480,ASML
2002-03-25,23.93,24.15,21.93,22.63,4765582,ASML
2002-04-01,22.35,24.33,22.21,23.81,9603303,ASML
2002-04-08,21.17,21.95,20.63,21.2,9153076,ASML
2002-04-15,22.6,23.67,20.89,21.35,7437926,ASML
2002-04-22,20.65,22.56,20.46,22.21,11172117,ASML
2002-04-29,18.06,21.72,17.87,20.97,11316194,ASML
2002-05-06,18.63,21.12,17.92,18.86,11761837,ASML
2002-05-13,20.9,21.28,18.77,18.79,7791031,ASML
2002-05-20,18.4,20.74,18.17,20.74,6643218,ASML
2002-05-27,17.48,18.93,16.87,18.93,3990242,ASML
2002-06-03,16.37,17.68,15.18,17.63,6586135,ASML
2002-06-10,14.41,16.45,13.87,16.27,11695240,ASML
2002-06-17,13.02,15.17,12.92,14.81,7147654,ASML
2002-06-24,14.26,14.99,12.68,12.92,10534628,ASML
2002-07-01,14.55,14.69,11.9,14.55,8554665,ASML
2002-07-08,13.16,14.68,12.2,14.48,9401118,ASML
2002-07-15,13.82,15.26,12.78,13.37,12121443,ASML
2002-07-22,10.69,14.37,9.81,14.01,9908976,ASML
2002-07-29,9.83,12.2,9.71,11.24,8786214,ASML
2002-08-05,10.14,10.85,9.25,9.82,8672322,ASML
2002-08-12,10.85,10.85,9.19,10.03,6502496,ASML
2002-08-19,10.97,12.45,10.8,11.05,7704175,ASML
2002-08-26,9.66,11.29,9.57,11.1,4512199,ASML
2002-09-02,8.53,9.52,7.77,9.49,5475966,ASML
2002-09-09,7.47,8.81,7.36,8.35,6251579,ASML
2002-09-16,6.33,7.25,5.91,7.18,11022499,ASML
2002-09-23,5.86,6.52,5.05,5.85,20337240,ASML
2002-09-30,5.66,6.66,5.61,5.94,8047012,ASML
2002-10-07,6.12,6.22,4.67,5.17,12486662,ASML
2002-10-14,7.87,7.91,5.99,5.99,11104838,ASML
2002-10-21,7.83,8.36,6.62,7.84,11045702,ASML
2002-10-28,8.43,8.54,7.13,8.34,7886512,ASML
2002-11-04,8.45,9.67,8.31,9.03,8966017,ASML
2002-11-11,8.53,8.67,7.52,8.08,7572283,ASML
2002-11-18,10.51,10.7,8.53,8.79,5152977,ASML
2002-11-25,10.51,10.99,9.92,10.53,4276957,ASML
2002-12-02,9.78,11.46,9.29,11.4,4658946,ASML
2002-12-09,7.87,9.42,7.83,9.42,5498210,ASML
2002-12-16,7.94,8.46,6.9,8.05,17526911,ASML
2002-12-23,7.86,8.42,7.79,7.9,4023576,ASML
2002-12-30,8.68,8.74,7.7,7.94,6098400,ASML
2003-01-06,8.87,9.19,8.14,8.63,7892123,ASML
2003-01-13,7.8,9.15,7.73,9.09,6109761,ASML
2003-01-20,7.32,8.03,7.21,7.95,7956461,ASML
2003-01-27,7.55,7.69,6.88,7.13,12281465,ASML
2003-02-03,6.81,7.65,6.79,7.57,4468807,ASML
2003-02-10,7.07,7.08,6.52,6.69,4713221,ASML
2003-02-17,7.21,7.47,7.04,7.3,3547338,ASML
2003-02-24,6.82,7.23,6.46,6.86,5023479,ASML
2003-03-03,6.13,6.97,6.01,6.9,5528122,ASML
2003-03-10,6.43,6.73,5.76,5.94,8066793,ASML
2003-03-17,7.87,7.94,6.4,6.45,10384665,ASML
2003-03-24,6.41,7.23,6.19,7.04,8279930,ASML
2003-03-31,6.63,7.02,6.08,6.25,5031968,ASML
