fiscalDateEnding;goodwill;totalLiabilities;totalShareholderEquity;totalRevenue;ebit;netIncome_x;operatingCashflow;capitalExpenditures;Net Income;Diluted EPS;Symbol
1996-06-30;;;;;;;;;;0.22;ASML
1996-12-31;;;;;;;;;;0.24;ASML
1997-06-30;;;;;;;;;;0.21;ASML
1997-12-31;;;;;;;;;;0.36;ASML
1998-06-30;;;;;;;;;;0.24;ASML
1998-12-31;;;;;;;;;;0;ASML
1999-06-30;;;;;;;;;;0.01;ASML
1999-12-31;;;;;;;;;;0.27;ASML
2001-12-31;;;;;;;;;;-0.22;ASML
2002-06-30;;;;;;;;;;-0.32;ASML
2002-12-31;;;;;;;;;;-0.35;ASML
2003-03-31;;;;;;;;;;-0.25;ASML
2003-06-30;;;;;;;;;;-0.15;ASML
2003-09-30;;;;;;;;;;-0.07;ASML
2003-12-31;;;;;;;;;;0;ASML
2004-03-31;;;;;;;;;;0.06;ASML
2004-06-30;;;;;;;;;;0.23;ASML
2004-09-30;;;;;;;;;;0.15;ASML
2004-12-31;;;;;;;;;;0.39;ASML
2005-03-31;;;;;;;;;;0.41;ASML
2005-06-30;;;;;;;;;;0.39;ASML
2005-09-30;None;1888532668;1635006419;532579174;68950535;47714461;173441184;9245365.69;47916141;0.18;ASML
2005-12-31;None;2042634117;1710537443;548079875;74664112;51664681;209515114;22632775.84;51664681;0.19;ASML
2006-03-31;None;2007376381;1799492836;629075075;114286161;79993794;-218926303.62;16910229.97;79993794;0.26;ASML
2006-06-30;None;2279360847;1658626788;942423354;237749185;167230663;329974113;14051773.83;167328152;0.56;ASML
2006-09-30;None;2110842405;1739708517;957450983;238905532;171841468;1998447;16544104.6;171412603;0.61;ASML
2006-12-31;None;1794578915;2156453174;1070114519;280182871;205954334;364460588;23232587.69;205954334;0.77;ASML
2007-03-31;None;1871509289;2155828846;948388092;218980748;152629138;173245229;237387090;153254185;0.67;ASML
2007-06-30;None;2576820894;2327568023;930152062;206543839;159493055;260347010;42648111.12;160530245;0.64;ASML
2007-09-30;None;3285886703;1843397208;934634468;208899537;166325657;169411936;50042185.05;168142806;0.62;ASML
2007-12-31;128473053;2163539192;1910623257;978096152;211097336;206999685;68347328;150642820;206999685;0.87;ASML
2008-03-31;119655813;2445004298;1957156097;918739694;187942189;145049265;262548434;55003948.92;145049265;0.64;ASML
2008-06-30;119930384;2086298000;2062424145;844914654;150994358;192149277;135135874;65577136.73;192353079;0.9;ASML
2008-09-30;129091395;2091269828;2120438556;695702374;83246311;73210849;20023944;67950682.32;72525925;0.34;ASML
2008-12-31;131765106;1955251082;1993485447;503616946;-134033544.70;-86793796;-136296403.27;71889468.91;-86793796.76;-0.34;ASML
2009-03-31;139727000;1948996000;1795951000;183600000;-146300000;-117200000;82241000;43903000;-117191000;-0.45;ASML
2009-06-30;134536000;1853821000;1691240000;276600000;-123800000;-104000000;71035000;43337000;-103953000;-0.43;ASML
2009-09-30;128595000;1861387000;1706271000;555300000;38600000;19800000;-74561000;10027000;19739000;0.09;ASML
2009-12-31;131462000;1952729000;1774768000;580566000;110575000;50480000;19049000;7692000;50480000;0.23;ASML
2010-03-31;141100000;2583800000;1811000000;741800000;136900000;107300000;41100000;7200000;107300000;0.45;ASML
2010-06-30;153200000;2787400000;2079300000;1068700000;292400000;239200000;193000000;18000000;239200000;0.91;ASML
2010-09-30;140900000;3141800000;2319300000;1176000000;327800000;268500000;403500000;34600000;268500000;1.01;ASML
2010-12-31;141286000;3406450000;2773908000;1521438000;508724000;406820000;302448000;68928000;406820000;1.64;ASML
2011-03-31;133300000;3904800000;3051900000;1452200000;449800000;395000000;1100600000;66700000;395000000;1.6;ASML
2011-06-30;132400000;3966700000;3109400000;1529400000;494400000;432100000;499300000;60700000;432100000;1.87;ASML
2011-09-30;139200000;3823400000;3284200000;1458500000;366144000;355200000;338200000;79800000;355200000;1.55;ASML
2011-12-31;146000000;3816600000;3444200000;1210935000;330872000;284660000;132340000;93698000;284660000;1.19;ASML
2012-03-31;141500000;3787300000;3612000000;1251900000;322900000;282000000;395600000;50500000;282000000;1.16;ASML
2012-06-30;159507000;3653299000;3958967000;1227700000;331100000;291900000;74100000;38800000;291900000;1.18;ASML
2012-09-30;145900000;3682000000;6905700000;1228800000;317500000;274700000;489300000;50200000;274700000;1.05;ASML
2012-12-31;149200000;3343600000;4066900000;1023100000;185300000;297700000;-255500000;40000000;297700000;0.52;ASML
2013-03-31;153200000;3441400000;4172100000;892100000;93300000;96200000;-56300000;31300000;96200000;0.3;ASML
2013-06-30;2017300000;3879800000;6498000000;1186700000;232100000;245100000;481300000;50500000;220800000;0.67;ASML
2013-09-30;1977900000;4464100000;6603100000;1318200000;195500000;193100000;107400000;55300000;193100000;0.57;ASML
2013-12-31;2111296000;4658570000;7544795000;1848300000;462600000;481100000;521800000;77700000;481100000;1.47;ASML
2014-03-31;2092700000;4701400000;7056900000;1396500000;245500000;249100000;203400000;75500000;249100000;0.76;ASML
2014-06-30;2116100000;4808100000;7080400000;1643600000;405100000;398700000;198400000;73700000;398700000;1.23;ASML
2014-09-30;2264900000;4772500000;7324100000;1322200000;241100000;244000000;214200000;84200000;244000000;0.74;ASML
2014-12-31;2357536000;4691355000;7512590000;1493977000;309529000;304840000;409206000;127832000;304840000;0.87;ASML
2015-03-31;2610800000;5014300000;8076800000;1649900000;434900000;402700000;337200000;86700000;402700000;1.17;ASML
2015-06-30;2569400000;4712700000;7962600000;1654100000;398100000;369700000;283800000;79200000;369700000;0.95;ASML
2015-09-30;2574000000;4560700000;8144900000;1549200000;351600000;322400000;419800000;86500000;322400000;0.83;ASML
2015-12-31;2624600000;4906200000;8388800000;1434175000;297335000;292374000;984700000;120500000;292400000;0.74;ASML
2016-03-31;2537700000;4840200000;8303400000;1333200000;204600000;198000000;-5800000;58800000;198000000;0.51;ASML
2016-06-30;2603700000;5154300000;8149200000;1739600000;380700000;353800000;481100000;100200000;353800000;0.94;ASML
2016-09-30;2574116437;6296623211;8523519275;1814600000;472200000;395900000;-9912385;63253227;393664355;1.04;ASML
2016-12-31;4898617000;7422954000;9870202000;1907400000;506400000;524200000;1267461406;102402823;538294244;1.35;ASML
2017-03-31;4775123442;7068512194;10223780735;1943600000;510900000;452100000;-166693741;38208901;449675616;1.12;ASML
2017-06-30;4669702000;7558870000;11231473000;2101400000;531800000;466300000;603216910;53658579;459405509;1.18;ASML
2017-09-30;4581417000;7175783000;10384692000;2447400000;631700000;557100000;382559530;91747240;555590129;1.52;ASML
2017-12-31;4658847000;7715193000;10953025000;2560400000;726000000;643000000;1005601480;145337956;646785012;1.76;ASML
2018-03-31;4552016070;7812663082;12450477777;2285000000;642200000;539700000;277336608;128521843;578742782;1.55;ASML
2018-06-30;4566176000;7960140000;10881721000;2740400000;689400000;584000000;703345398;131142271;598942653;1.63;ASML
2018-09-30;4522094000;8268664000;11107071000;2776100000;817800000;680400000;478750995;125433426;678489815;1.86;ASML
2018-12-31;4544868000;8502949000;11650659000;3142500000;815900000;787500000;1684210612;195315852;786718298;2.19;ASML
2019-03-31;4541100000;8394900000;11965700000;2229100000;334300000;355400000;-485533303;148447164;359172372;0.99;ASML
2019-06-30;4551077000;8507251000;11570667000;2567900000;494300000;476000000;101394077;126632364;470700799;1.27;ASML
2019-09-30;4524798000;8597126000;12027766000;2986500000;685600000;626800000;69637656;194511467;636945825;1.66;ASML
2019-12-31;4489616000;9923603000;12449439000;4036400000;1276400000;1134100000;3523090733;290263707;1105903048;2.98;ASML
2020-03-31;4579271000;10842781000;12630483000;2440600000;426700000;390600000;-613588668;234476352;395470308;1.03;ASML
2020-06-30;4531521000;11581819000;12673012000;3325700000;905100000;751000000;366215272;216397766;734815320;1.97;ASML
2020-09-30;4533657000;11701689000;13719976000;3958000000;1215900000;1061500000;177138453;206323321;1056280223;2.96;ASML
2020-12-31;4623329000;13385291000;13848114000;4254100000;1503700000;1350500000;4335168925;288274352;1314246213;3.85;ASML
2021-03-31;4550343000;13574415000;13613470000;4363900000;1560600000;1331400000;-961634698;193409375;1362917040;3.86;ASML
2021-06-30;4552980000;15713504000;12086611000;4020200000;1239000000;1038200000;3619935318;245122456;1054886256;3.04;ASML
2021-09-30;4547214000;15766524000;11481226000;5241300000;1919300000;1740200000;1841796342;200530161;1766633076;5.02;ASML
2021-12-31;4569107000;20149966000;10170666000;4985600000;1817500000;1773400000;6641890798;277358390;1787753478;5.01;ASML
2022-03-31;4578510000;21529127000;8854707000;3534400000;784600000;695300000;-593909056;243299036;704564011;1.94;ASML
2022-06-30;4551833000;24243937000;7642276000;5430500000;1653400000;1410900000;2687321207;236259168;1435092568;3.77;ASML
2022-09-30;4569512000;24924283000;7979394000;5778300000;1938500000;1701500000;1213106858;373918883;1753860124;4.32;ASML
2022-12-31;4518077000;27263179000;8738229000;6430200000;2140400000;1816500000;5350500000;453600000;1816500000;4.7;ASML
2023-03-31;4551283000;25337266000;9777026000;6746200000;2205000000;1955800000;733600000;532000000;1955800000;4.96;ASML
2023-06-30;4557081000;26332160000;10608348000;6902300000;2263000000;1941700000;384700000;537800000;1941700000;4.93;ASML
2023-09-30;4601190000;25622122000;12043560000;6673000000;2182400000;1893400000;1128100000;501800000;1893400000;4.81;ASML
2023-12-31;4606009000;26605657000;13503437000;7237000000;2585800000;2048100000;3091517013;550004949;2001469446;5.21;ASML
2024-03-31;4611268000;25373228000;13862243000;5290000000;1391400000;1223800000;-254398728;421439415;1235939517;3.11;ASML
2024-06-30;4582436000;25994833000;14691438000;6242800000;1834600000;1577900000;930627394;532447739;1582819454;4.01;ASML
2024-09-30;4584773000;25593140000;16138131000;7467300000;2441200000;2076500000;923534921;405376038;2042226117;5.28;ASML
2024-12-31;4588519011;30112268509;18476473884;9262800000;3537800000;2693400000;10030079571;744503561;2774484378;6.84;ASML
2025-03-31;4579309000;27921449000;17465264000;7741500000;2737900000;2355000000;-56979691;403525115;2289883510;6;ASML
2025-06-30;4597770000;27285317000;17653408000;7691700000;3274100000;2676200000;1346000000;988300000;2676200000;5.9;ASML
2025-09-30;4588600000;26103600000;18993500000;7516000000;2566700000;2124500000;559100000;295900000;2124500000;5.48;ASML
